Données - PA : 12 ; PV cible : 14 ; 
Coups réussis : 8 ; Dégâts infligés : 13 ; Probabilité de meurtre réussi : 0.43049

Données - PA : 12 ; PV cible : 14 ; Couteau, 
Coups réussis : 8 ; Dégâts infligés : 18 ; Probabilité de meurtre réussi : 0.84778

Données - PA : 12 ; PV cible : 14 ; Fuyant, Couteau, Armure, 
Coups réussis : 7 ; Dégâts infligés : 8 ; Probabilité de meurtre réussi : 0.00570667

Données - PA : 12 ; PV cible : 16 ; 
Coups réussis : 8 ; Dégâts infligés : 13 ; Probabilité de meurtre réussi : 0.207473

Données - PA : 12 ; PV cible : 16 ; Fuyant, Armure, 
Coups réussis : 7 ; Dégâts infligés : 4 ; Probabilité de meurtre réussi : 0

Données - PA : 12 ; PV cible : 16 ; Fuyant, Couteau, Armure, 
Coups réussis : 7 ; Dégâts infligés : 8 ; Probabilité de meurtre réussi : 0

Données - PA : 5 ; PV cible : 14 ; Couteau, 
Coups réussis : 3 ; Dégâts infligés : 6 ; Probabilité de meurtre réussi : 0

Données - PA : 5 ; PV cible : 14 ; Lutteur, 
Coups réussis : 3 ; Dégâts infligés : 10 ; Probabilité de meurtre réussi : 0.485993

Données - PA : 8 ; PV cible : 10 ; 
Coups réussis : 9 ; Dégâts infligés : 17 ; Probabilité de meurtre réussi : 0.888652

Données - PA : 12 ; PV cible : 10 ; 
Coups réussis : 11 ; Dégâts infligés : 20 ; Probabilité de meurtre réussi : 0.96999

Données - PA : 12 ; PV cible : 10 ; 
Coups réussis : 8 ; Dégâts infligés : 13 ; Probabilité de meurtre réussi : 0.84778

Données - PA : 5 ; PV cible : 10 ; Couteau, 
Coups réussis : 7 ; Dégâts infligés : 16 ; Probabilité de meurtre réussi : 0.752951

Données - PA : 12 ; PV cible : 14 ; Couteau, 
Coups réussis : 11 ; Dégâts infligés : 25 ; Probabilité de meurtre réussi : 0.96999

Données - PA : 12 ; PV cible : 14 ; Couteau, 
Coups réussis : 11 ; Dégâts infligés : 25 ; Probabilité de meurtre réussi : 0.96999

Données - PA : 17 ; PV cible : 1 ; 
Coups réussis : 11 ; Dégâts infligés : 18 ; Probabilité de meurtre réussi : 1

Données - PA : 17 ; PV cible : 14 ; 
Coups réussis : 11 ; Dégâts infligés : 18 ; Probabilité de meurtre réussi : 0.940263

Données - PA : 12 ; PV cible : 16 ; Fuyant, Armure, 
Coups réussis : 7 ; Dégâts infligés : 4 ; Probabilité de meurtre réussi : 0

Données - PA : 12 ; PV cible : 16 ; Fuyant, Couteau, Armure, 
Coups réussis : 7 ; Dégâts infligés : 8 ; Probabilité de meurtre réussi : 0

Données - PA : 12 ; PV cible : 16 ; Fuyant, Lutteur, Armure, 
Coups réussis : 7 ; Dégâts infligés : 18 ; Probabilité de meurtre réussi : 0.783147

Données - PA : 12 ; PV cible : 16 ; Couteau, Armure, Dur-à-cuire, 
Coups réussis : 8 ; Dégâts infligés : 2 ; Probabilité de meurtre réussi : 0

Données - PA : 12 ; PV cible : 16 ; Lutteur, Armure, Dur-à-cuire, 
Coups réussis : 8 ; Dégâts infligés : 13 ; Probabilité de meurtre réussi : 0.207473

Données - PA : 1 ; PV cible : 14 ; 
